コード,会社名,市場区分,新市場区分,「上場維持基準の適合に向けた計画書」を開示している会社,備考
1301,株式会社極洋,市場第一部,プライム市場,,
1332,日本水産株式会社,市場第一部,プライム市場,,
1333,マルハニチロ株式会社,市場第一部,プライム市場,,
1352,株式会社ホウスイ,市場第一部,スタンダード市場,✓,
1375,株式会社雪国まいたけ,市場第一部,プライム市場,,
1376,カネコ種苗株式会社,市場第一部,スタンダード市場,,
1377,株式会社サカタのタネ,市場第一部,プライム市場,,
1379,ホクト株式会社,市場第一部,プライム市場,,
1380,株式会社秋川牧園,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1381,株式会社アクシーズ,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1382,株式会社ホーブ,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
1383,ベルグアース株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1384,株式会社ホクリヨウ,市場第一部,スタンダード市場,,
1400,ルーデン・ホールディングス株式会社,ＪＡＳＤＡＱグロース,グロース市場,,
1401,株式会社エムビーエス,マザーズ,グロース市場,,
1407,株式会社ウエストホールディングス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1413,株式会社ヒノキヤグループ,市場第一部,プライム市場,,
1414,ショーボンドホールディングス株式会社,市場第一部,プライム市場,,
1417,株式会社ミライト・ホールディングス,市場第一部,プライム市場,,
1418,インターライフホールディングス株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1419,タマホーム株式会社,市場第一部,プライム市場,,
1420,サンヨーホームズ株式会社,市場第一部,スタンダード市場,✓,
1429,株式会社日本アクア,市場第一部,プライム市場,✓,
1430,ファーストコーポレーション株式会社,市場第一部,プライム市場,✓,
1431,株式会社Ｌｉｂ　Ｗｏｒｋ,マザーズ,グロース市場,,
1433,ベステラ株式会社,市場第一部,プライム市場,✓,
1434,ＪＥＳＣＯホールディングス株式会社,市場第二部,スタンダード市場,,
1435,株式会社Ｒｏｂｏｔ　Ｈｏｍｅ,市場第一部,プライム市場,,
1436,株式会社フィット,マザーズ,グロース市場,✓,
1439,株式会社安江工務店,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
1443,技研ホールディングス株式会社,市場第二部,スタンダード市場,,
1446,株式会社キャンディル,市場第一部,スタンダード市場,,
1447,ＩＴｂｏｏｋホールディングス株式会社,マザーズ,グロース市場,,
